match_id,event_idx,duration_s,const_f_d,const_err,tau_d,f_d0,f_d_inf,d0,theta_d_deg,dyn_err,improvement_pct,direction,d_mean,d_min,d_max
J03WPY,32,3.88,0.3588162235727107,4.368054246382881,20.0,12.0,0.01,3.480154506994316,167.80818904276578,3.7213248371646417,14.805892343342258,H1',11.018958223770863,8.98234569649815,14.268887183956508
J03WMX,64,1.2,12.056517976180587,0.18787217437076345,0.84688015717446,0.04058148858822872,11.994650140607217,1.4131954930038269,-71.02001891826626,0.14609041213838633,22.239462747645277,opposite,2.377666496761927,1.3663046136103492,2.9830611781049563
J03WPY,86,1.76,7.7247708969405,0.33762397841634817,0.9760231258370455,0.01,7.592546352022488,12.0,71.71939230863451,0.31621786704032145,6.340222479586243,opposite,12.76392376143484,10.599500992081092,14.836055127169336
J03WMX,47,1.16,3.4552526148026415,0.1177222233788906,19.961948612211025,0.01,5.317797648220343,1.8590643068543569,-137.50082676904321,0.11428869935876725,2.9166319846614774,opposite,1.7179793314430616,1.0974687141705062,2.038767003492297
J03WMX,42,2.64,4.499805636281579,2.530202571963259,20.0,0.01,4.702563444241776,0.6958371135707855,-120.40293113885139,2.4998328590078347,1.2002878066738976,opposite,2.1108543590210194,1.3065839849083745,3.971396127256944
J03WPY,64,1.76,20.0,1.5565487248495369,20.0,0.01,3.7542347950048005,12.0,-134.3725075293975,2.0913983927777173,-34.36125444642804,opposite,3.08621760249948,2.721878561906393,4.46711522335411
J03WMX,25,2.2,1.4857181747496926,0.28500925636927704,20.0,12.0,0.01,5.795976756126702,38.517202661310385,0.26893943654015623,5.638350148284195,H1',11.855608375458297,9.101569032311433,13.017684887755
J03WPY,71,2.0,5.451788724886565,0.7601531015358289,1.8291741453523278,0.01,12.0,9.406343070840073,17.45621754839611,0.6947558119622476,8.603173418808836,opposite,5.215542388222362,4.218529321329696,5.786699989609053
J03WPY,68,3.4,16.627892222198234,0.8345450883518688,0.6604572897941613,11.993539580116655,12.0,0.3383283274681653,35.032338322714885,0.9069526238270932,-8.676288014374514,opposite,2.2455547728934513,0.7001685683020322,3.0866840060201013
J03WPY,80,2.68,9.316797019296114,0.7513591298186528,1.340590771881482,0.01,6.576656529492842,2.1601600541047024,19.59461345504489,0.6449772934050321,14.158587044692855,opposite,3.7887996738284784,1.7461507775115144,7.075222880100184
J03WMX,3,1.56,1.4515472297627428,0.20552900046978073,10.412287985145126,4.404344332796428,0.01,3.6256540052427604,-40.40040991791801,0.16442003272444275,20.001541218696435,H1',3.539530109785244,3.0663672279235543,5.118739569461175
J03WPY,77,2.04,3.7543663363931388,0.8672369178214838,2.3488412132017515,0.324480233316189,6.585849783347985,1.418967960471327,-179.08933853646758,0.45086706207741345,48.01108522801354,opposite,0.910898435054248,0.502535944867256,2.0723202741549356
J03WMX,76,3.12,9.153316021068594,0.6471348487368312,1.0168383347057244,0.015070901137049285,9.570926737865122,6.50073083973876,-77.54177546231472,0.271696979199073,58.01539976877936,opposite,6.530515184106198,3.6362258464869117,9.316714230575366
J03WMX,23,1.48,3.7803589663560677,0.33592880409892395,20.0,0.01,4.632475716624063,1.7476872824582848,29.81184836965692,0.3214937922600674,4.297044987724759,opposite,2.4432521397693394,0.5275056652729827,3.212387625589505
J03WMX,67,1.8800000000000001,11.886306658726479,0.26177634734199384,0.6784235439329317,12.0,9.281469979952721,11.995558161210806,-23.300693544417843,0.23399366631413268,10.61313648462093,H1',3.6281983272059364,0.7902122525420501,6.669207230228934
J03WMX,24,1.8,9.337095582363663,0.3750630219720889,0.8819539948246895,0.01,9.74111304962842,1.418162460770391,50.841985338844275,0.2845222980746253,24.140136082037266,opposite,3.4970012607059373,1.1604215425860422,6.8679439523414425
J03WMX,5,1.8,4.663627822874787,0.9491853842678933,1.0904474935686908,0.01,8.789237071265855,12.0,-9.667385585133,0.9301794300547531,2.0023437495089023,opposite,8.800667741783673,8.594405231541819,9.044133852902805
J03WMX,62,2.68,0.46920220841418037,1.9387166459167307,0.6618236765374411,0.01,11.949257603925567,12.0,-26.607631316057816,1.718747955222813,11.346098005461979,opposite,9.730327786853247,6.304488776283388,12.208149134118942
J03WMX,30,3.72,7.442940061331557,3.468235144204272,1.2066504796694146,12.0,0.01,3.934542481859826,5.1138489203318755,3.053854626493921,11.9478784015789,H1',1.883821989328147,1.077957057434684,2.893599119035501
