match_id,event_idx,attacker_id,defender_id,duration_s,n_frames,tau_d,f_d,theta_d_deg,fit_error,d_start,d_end,d_mean,d_min,d_max
J03WPY,30,DFL-OBJ-00028V,DFL-OBJ-0028BZ,4.44,112,20.0,0.7187980962666265,20.246463028758043,4.2450180080989535,9.683994105213518,5.505861124758972,8.578563825500712,5.456796261492662,10.499764609465277
J03WPY,31,DFL-OBJ-00028V,DFL-OBJ-0028BZ,1.76,45,1.9038006269743453,3.7870898733175973,42.79244103260057,0.13819326433784535,12.271088511268912,7.31503249672655,10.681588750843646,7.31503249672655,12.28268118532434
J03WPY,32,DFL-OBJ-002GMO,DFL-OBJ-002595,3.88,98,20.0,0.35892968218092125,167.9412708416768,4.368052483414968,14.268887183956508,8.98234569649815,11.018958223770863,8.98234569649815,14.268887183956508
J03WPY,33,DFL-OBJ-0000F8,DFL-OBJ-002FYC,4.48,113,12.902262770452781,1.0296695001759801,-180.0,2.855631864270627,7.482314372955906,3.5964684143620693,5.244653456918768,3.272067640840646,7.482314372955906
J03WPY,34,DFL-OBJ-0026RH,DFL-OBJ-0001LJ,7.36,185,0.304342082300389,20.0,48.11038662953074,7.225053024880252,5.2311025367072554,1.6137538561873577,2.7130257715138524,0.8687525818760876,5.2311025367072554
J03WPY,35,DFL-OBJ-0000F8,DFL-OBJ-002595,1.8800000000000001,48,0.387742838089235,13.042401419002127,-36.754409159825656,1.0619557408795297,7.44961214092391,1.4357747064069968,4.838010525083637,1.4357747064069968,7.44961214092391
J03WPY,36,DFL-OBJ-002595,DFL-OBJ-0000F8,4.12,104,1.2293379254047843,2.5740457849634657,-33.31656877661053,4.150231727071408,6.80985012336399,2.2056296186731963,4.817546450299098,2.2056296186731963,6.80985012336399
J03WPY,37,DFL-OBJ-00028V,DFL-OBJ-002595,2.16,55,20.0,4.499827394278112,13.900326761165678,1.2656046507419922,1.4305865399947755,1.2916018112742775,2.0157888432345596,1.0968812569791355,3.1708772386694672
J03WPY,38,DFL-OBJ-00028V,DFL-OBJ-0028BZ,2.08,53,0.6527258902175405,9.479332833028222,43.102485561806866,0.5606082109167962,7.504914556894672,2.7282937783445247,5.341272138269872,2.7282937783445247,7.504914556894672
J03WPY,39,DFL-OBJ-002G5J,DFL-OBJ-0028T3,1.32,34,3.900949816031202,5.887297238699971,-102.67288349547108,0.4344171362629836,1.427872647940912,0.7656948448801396,0.8652833023513373,0.6511832106178929,1.427872647940912
J03WPY,40,DFL-OBJ-0000F8,DFL-OBJ-002G68,3.08,78,0.29723332806953984,17.313458508114586,-0.5609627020467323,3.049147752506608,3.7946719294258155,2.781344336036741,1.5095055576564895,0.5853433018229758,3.7946719294258155
J03WPY,41,DFL-OBJ-00028V,DFL-OBJ-0028BZ,3.7600000000000002,95,0.1907311003443284,19.352470452182672,8.021646004268167,6.766451663023775,11.375746933873444,3.4494976830244344,6.348969683837027,3.4494976830244344,11.375746933873444
J03WPY,42,DFL-OBJ-002GM9,DFL-OBJ-J0178P,3.24,82,0.30808316892264387,20.0,32.553954261252386,1.9456776319638271,9.894406369758897,1.9514539309773575,4.2759065365945865,1.8087042116617578,9.894406369758897
J03WPY,43,DFL-OBJ-002GMO,DFL-OBJ-002595,2.68,68,0.9774338469011997,2.6257274421589587,-121.33870251787566,0.6318822975210031,17.009767964710477,11.86823542612407,15.063543258064502,11.86823542612407,17.009767964710477
J03WPY,44,DFL-OBJ-00028V,DFL-OBJ-0028BZ,2.6,66,0.49565376285163226,11.166890571154978,34.198840475682545,2.4891723013887326,8.639398899384096,1.7887196366100018,4.536189326779378,1.7501632634566677,8.639398899384096
J03WPY,45,DFL-OBJ-002GMO,DFL-OBJ-002595,1.92,49,20.0,2.784890100868598,87.35669947768417,1.681525874187815,9.561084762134637,3.962553703444923,6.447497166119235,3.962553703444923,9.561084762134637
J03WPY,46,DFL-OBJ-002GM9,DFL-OBJ-J0178P,1.4000000000000001,36,17.535413605178526,0.29773806481426407,-2.4235799524889106,0.17103061985583753,14.033927193394764,9.376840229175206,11.846365364191843,9.376840229175206,14.033927193394764
J03WPY,47,DFL-OBJ-J01KJ5,DFL-OBJ-002GG4,2.52,64,1.4854594339427414,2.378574955935069,-53.208676105127594,1.1994164437601464,6.851130860138078,1.2851710515701738,3.1282543527200755,1.2851710515701738,6.851130860138078
J03WPY,48,DFL-OBJ-002GMO,DFL-OBJ-0028BZ,3.24,82,0.6253811770903356,5.690367650393326,-52.03314001739842,3.024231219753814,19.70518492625959,8.752147447948774,14.703478916459705,8.752147447948774,19.70518492625959
J03WPY,49,DFL-OBJ-002GMO,DFL-OBJ-002595,2.88,73,19.975062138568912,0.5080618683195551,-82.41367708834174,1.608012913845353,17.01613562653587,5.939172778456977,10.972919595576798,5.939172778456977,17.01613562653587
J03WPY,50,DFL-OBJ-0000NZ,DFL-OBJ-002595,4.16,105,0.3883184511249327,9.156692274243346,-84.39692738289753,1.2377483323723992,15.259440959834022,9.95179120564096,13.322303109006981,9.95179120564096,15.286027936831077
J03WPY,51,DFL-OBJ-0026RH,DFL-OBJ-0000EJ,3.0,76,0.9624520945442818,9.24545708998729,71.21906849934018,0.6354369822587255,2.169751350513507,1.0235907046659312,1.362645943538625,1.0235907046659312,2.169751350513507
J03WPY,52,DFL-OBJ-002FYC,DFL-OBJ-0000F8,3.08,78,20.0,1.6161646541369983,46.79361690589241,1.0047925772143025,3.2391191200564196,3.60441142593923,3.010601752346819,2.8019592800433935,3.60441142593923
J03WPY,53,DFL-OBJ-0026RH,DFL-OBJ-0001LJ,1.72,44,1.687357501501946,1.287642218621991,64.60993419125263,1.7762955481857907,5.015184022154823,3.4924778362412616,3.3280231882501297,2.767705603428016,5.015184022154823
J03WPY,54,DFL-OBJ-J01H9X,DFL-OBJ-002595,4.04,102,2.4662700638247044,1.323699055449143,68.87090422358105,2.6590856766443585,6.448035783795526,3.114312707179943,3.3903490936175387,2.227747241111403,6.448035783795526
